"","RECYEAR","avg.LIVEGRASS"
"1015",2009,54.9033333333333
"1017",2009,34.81
"1019",2009,70.1833333333333
"1021",2009,45.2066666666667
"1023",2009,40.575
"1025",2009,53.7916666666667
"1027",2009,36.505
"1029",2009,41.8066666666667
"1031",2009,40.4966666666667
"1033",2009,46.6583333333333
"1035",2009,49.8333333333333
"1037",2009,75.1266666666667
"1039",2009,69.9716666666667
"1041",2009,72.955
"1043",2009,57.02
"1045",2009,46.5766666666667
"1047",2009,50.75
"1049",2009,52.5566666666667
"1051",2009,61.2266666666667
"1053",2009,35.6383333333333
"1055",2009,35.5983333333333
"1057",2009,40.095
"1059",2009,51.0733333333333
"1061",2009,48.6566666666667
"1063",2009,53.13
"1065",2009,41.1633333333333
"1067",2009,34.995
"1069",2010,43.115
"1071",2010,51.5733333333333
"1073",2010,47.44
"1075",2010,47.7216666666667
"1077",2010,38.4583333333333
"1079",2010,71.7366666666667
"1081",2010,60.4066666666667
"1083",2010,39.6333333333333
"1085",2010,44.1733333333333
"1087",2010,37.48
"1089",2010,48.175
"1091",2010,37.21
"1093",2010,61.7016666666667
"1095",2010,55.7833333333333
"1097",2010,66.0883333333333
"1099",2010,61.915
"1101",2010,75.9183333333333
"1103",2010,52.2733333333333
"1105",2010,52.2666666666667
"1107",2010,57.6233333333333
"1109",2010,64.2283333333333
"1111",2010,45.2233333333333
"1113",2010,37.085
"1115",2010,28.605
"1117",2010,50.9216666666667
"1119",2010,50.555
"1121",2010,47.9633333333333
"1123",2010,57.2883333333333
"1125",2010,48.7783333333333
"1127",2010,42.1433333333333
"1129",2011,33.235
"1131",2011,48.8866666666667
"1133",2011,43.0583333333333
"1135",2011,44.2983333333333
"1137",2011,42.3416666666667
"1139",2011,45.2233333333333
"1141",2011,51.32
"1143",2011,42.945
"1145",2011,44.2316666666667
"1147",2011,29.225
"1149",2011,36.9083333333333
"1151",2011,36.9416666666667
"1153",2011,51.0533333333333
"1155",2011,39.6033333333333
"1157",2011,63.6683333333333
"1159",2011,52.4766666666667
"1161",2011,63.9716666666667
"1163",2011,44.325
"1165",2011,40.9166666666667
"1167",2011,44.4
"1169",2011,92.4516666666667
"1171",2011,44.0483333333333
"1173",2011,41.6883333333333
"1175",2011,26.93
"1177",2011,43.2933333333333
"1179",2011,36.8633333333333
"1181",2011,39.5833333333333
"1183",2011,46.73
"1185",2011,36.405
"1187",2011,38.4
"1189",2012,27.2416666666667
"1191",2012,35.1433333333333
"1193",2012,32.65
"1195",2012,32.4483333333333
"1197",2012,18.785
"1199",2012,45.505
"1201",2012,32.6333333333333
"1203",2012,28.1483333333333
"1205",2012,32.205
"1207",2012,21.905
"1209",2012,32.8883333333333
"1211",2012,30.49
"1213",2012,33.3233333333333
"1215",2012,28.9133333333333
"1217",2012,36.95
"1219",2012,42.51
"1221",2012,44.4383333333333
"1223",2012,36.0516666666667
"1225",2012,27.3883333333333
"1227",2012,32.0933333333333
"1229",2012,32.25
"1231",2012,25.4133333333333
"1233",2012,23.9533333333333
"1235",2012,15.0516666666667
"1237",2012,26.945
"1239",2012,30.4383333333333
"1241",2012,29.175
"1243",2012,31.64
"1245",2012,30.75
"1247",2012,26.34
"1249",2013,42.4283333333333
"1251",2013,62.21
"1253",2013,38.67
"1255",2013,53.28
"1257",2013,29.7866666666667
"1259",2013,75.295
"1261",2013,51.175
"1263",2013,36.2866666666667
"1265",2013,43.9916666666667
"1267",2013,45.7183333333333
