"","RECYEAR","avg.FORBS"
"1228",2012,8.28666666666667
"1230",2012,9.7
"1232",2012,1.44
"1234",2012,3.52333333333333
"1236",2012,5.155
"1238",2012,6.77666666666667
"1240",2012,2.595
"1242",2012,11.18
"1244",2012,5.68666666666667
"1246",2012,0.635
"1248",2012,3.94333333333333
"1250",2013,2.74
"1252",2013,2.69833333333333
"1254",2013,1.66
"1256",2013,16.7316666666667
"1258",2013,2.81166666666667
"1260",2013,0.236666666666667
"1262",2013,0.241666666666667
"1264",2013,10.1016666666667
"1266",2013,1.005
"1268",2013,2.07666666666667
"1270",2013,4.345
"1272",2013,2.61
"1274",2013,5.51
"1276",2013,9.06166666666667
"1278",2013,1.10833333333333
"1280",2013,0.123333333333333
"1282",2013,24.0383333333333
"1284",2013,8.13166666666667
"1286",2013,0.578333333333333
"1288",2013,8.1
"1290",2013,5.78
"1292",2013,1.69333333333333
"1294",2013,0.825
"1296",2013,0.876666666666667
"1298",2013,0.928333333333333
"1300",2013,3.43666666666667
"1302",2013,6.05333333333333
"1304",2013,9.28333333333333
"1306",2013,0.246666666666667
"1308",2013,7.95166666666667
"1310",2014,1.25
"1312",2014,4.54333333333333
"1314",2014,2.37333333333333
"1316",2014,5.97833333333333
"1318",2014,8.65333333333333
"1320",2014,5.33166666666667
"1322",2014,2.07
"1324",2014,8.18
"1326",2014,4.99
"1328",2014,1.05333333333333
"1330",2014,1.08666666666667
"1332",2014,1.86
"1334",2014,5.51833333333333
"1336",2014,9.37
"1338",2014,0.693333333333333
"1340",2014,0.791666666666667
"1342",2014,29.7483333333333
"1344",2014,40.31
"1346",2014,2.48833333333333
"1348",2014,6.71333333333333
"1350",2014,7.04166666666667
"1352",2014,6.41333333333333
"1354",2014,6.34666666666667
"1356",2014,4.35666666666667
"1358",2014,4.075
"1360",2014,1.135
"1362",2014,9.28666666666667
"1364",2014,2.425
"1366",2014,1.815
"1368",2014,4.92666666666667
"1370",2015,2.87666666666667
"1372",2015,2.345
"1374",2015,2.69666666666667
"1376",2015,9.59333333333333
"1378",2015,9.53666666666667
"1380",2015,2.155
"1382",2015,0
"1384",2015,3.60666666666667
"1386",2015,2.94833333333333
"1388",2015,0.486666666666667
"1390",2015,4.43
"1392",2015,0.871666666666667
"1394",2015,7.21666666666667
"1396",2015,7.32
"1398",2015,2.53166666666667
"1400",2015,1.34666666666667
"1402",2015,12.7233333333333
"1404",2015,19.8883333333333
"1406",2015,1.92166666666667
"1408",2015,12.1233333333333
"1410",2015,13.3083333333333
"1412",2015,14.5616666666667
"1414",2015,2.39833333333333
"1416",2015,7.56833333333333
"1418",2015,6.79166666666667
"1420",2015,3.385
"1422",2015,10.2133333333333
"1424",2015,3.91166666666667
"1426",2015,2.11833333333333
"1428",2015,9.36833333333333
